#TYPE System.Diagnostics.EventLogEntry#System/VDS Basic Provider/3254779905
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"1","DESKTOP-KBJ23GV","System.Byte[]","1363","(0)","0","Error","Unexpected failure. Error code: 1B1@01010016","VDS Basic Provider","System.String[]","3254779905","4/27/2020 1:00:15 PM","4/27/2020 1:00:15 PM",,,
"98","DESKTOP-KBJ23GV","System.Byte[]","1362","(0)","0","Information","The description for Event ID '98' in Source 'Microsoft-Windows-Ntfs' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'\\?\Volume{0895544e-de4c-4f77-bf43-59f793d43cc4}', '\Device\HarddiskVolume24', '0'","Microsoft-Windows-Ntfs","System.String[]","98","4/27/2020 1:00:14 PM","4/27/2020 1:00:14 PM","NT AUTHORITY\SYSTEM",,
"6013","DESKTOP-KBJ23GV","System.Byte[]","1361","(0)","0","Information","The system uptime is 3551930 seconds.","EventLog","System.String[]","2147489661","4/27/2020 12:00:00 PM","4/27/2020 12:00:00 PM",,,
"16","DESKTOP-KBJ23GV","System.Byte[]","1360","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'101', '\??\C:\Users\1\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Settings\settings.dat', '3', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","4/27/2020 11:40:15 AM","4/27/2020 11:40:15 AM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1359","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 11:10:05 AM","4/27/2020 11:10:05 AM","DESKTOP-KBJ23GV\1",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1358","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 11:05:51 AM","4/27/2020 11:05:51 AM","DESKTOP-KBJ23GV\1",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1357","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 11:00:34 AM","4/27/2020 11:00:34 AM","DESKTOP-KBJ23GV\1",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1356","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 10:59:44 AM","4/27/2020 10:59:44 AM","DESKTOP-KBJ23GV\1",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1355","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 10:49:03 AM","4/27/2020 10:49:03 AM","DESKTOP-KBJ23GV\1",,
"7040","DESKTOP-KBJ23GV","System.Byte[]","1354","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","4/27/2020 10:12:19 AM","4/27/2020 10:12:19 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-KBJ23GV","System.Byte[]","1353","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","4/27/2020 10:08:26 AM","4/27/2020 10:08:26 AM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-KBJ23GV","System.Byte[]","1352","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-KBJ23GV', '1', 'S-1-5-21-1601903507-1431682415-1599003356-1004', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","4/27/2020 10:07:26 AM","4/27/2020 10:07:26 AM","DESKTOP-KBJ23GV\1",,
"98","DESKTOP-KBJ23GV","System.Byte[]","1351","(0)","0","Information","The description for Event ID '98' in Source 'Microsoft-Windows-Ntfs' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'\\?\Volume{0895544e-de4c-4f77-bf43-59f793d43cc4}', '\Device\HarddiskVolume22', '0'","Microsoft-Windows-Ntfs","System.String[]","98","4/27/2020 10:00:13 AM","4/27/2020 10:00:13 AM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-KBJ23GV","System.Byte[]","1350","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'98', '\??\C:\Users\1\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat', '27', '7'","Microsoft-Windows-Kernel-General","System.String[]","16","4/27/2020 9:53:55 AM","4/27/2020 9:53:55 AM","NT AUTHORITY\SYSTEM",,
"98","DESKTOP-KBJ23GV","System.Byte[]","1349","(0)","0","Information","The description for Event ID '98' in Source 'Microsoft-Windows-Ntfs' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'\\?\Volume{0895544e-de4c-4f77-bf43-59f793d43cc4}', '\Device\HarddiskVolume20', '0'","Microsoft-Windows-Ntfs","System.String[]","98","4/27/2020 9:36:13 AM","4/27/2020 9:36:13 AM","NT AUTHORITY\SYSTEM",,
